active_devices,active_flagship,active_midrange,alliance,annual_cloud_total,annual_net,annual_platform_revenue,annual_revenue_estimate,annual_savings,avg_monthly_income,base_value,battery_life_with_nhp_years,battery_life_without_nhp_years,breakeven_months,cars_equivalent,category,cloud_provider,cloud_short,co2_added_phones,co2_saved_gross,co2_saved_net,comp_device_type,comp_devices,comp_total_tops,competitor,coverage_pct,cycles_per_night,daily_cloud_total,daily_nhp_savings,dc_replaced,development_cost,device_capable,device_ratio,effective_tops,electricity_cost_kwh,expected_loss,extra_cycles_per_year,feasibility_score,five_year_net,h100_equivalent,impact_pct,implied_annual_flow,income_pct_of_avg,latency_sensitive,life_reduction_months,manufacturer,manufacturers_count,market_cap_aggressive,market_cap_conservative,monthly_electricity,monthly_gpu_hours,monthly_gross,monthly_net,monthly_ops_cost,monthly_platform_revenue,monthly_savings,net_monthly_benefit,nhp_active_devices,nhp_advantages,nhp_devices,nhp_total_tops,overhead_pct,parallelizable_pct,penetration_pct,platform_revenue_monthly,potential_loss,power_ratio,probability_pct,region,region_ar,risk_name,risk_name_ar,roi_5yr_pct,savings_pct,scale_label,severity,task_name,task_name_ar,tasks_per_day,tasks_per_second,tier,token_price,total_active_devices,total_devices,total_monthly_flow,total_smartphones,total_tops,uptime_pct,user_payouts_monthly,variant
75000000,11250000,63750000,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,541875.0,,,,,,OPPO / OnePlus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000000,,,1083750000.0,25.0,,Moderate
30000000,4500000,25500000,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,216750.0,,,,,,OPPO / OnePlus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000000,,,433500000.0,10.0,,Pessimistic
9000000,1350000,7650000,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,65025.0,,,,,,OPPO / OnePlus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000000,,,130050000.0,3.0,,Catastrophic
100000000,15000000,85000000,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,722500.0,,,,,,Vivo / iQOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000000,,,1445000000.0,40.0,,Optimistic
62500000,9375000,53125000,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,451562.5,,,,,,Vivo / iQOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000000,,,903125000.0,25.0,,Moderate
25000000,3750000,21250000,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,180625.0,,,,,,Vivo / iQOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000000,,,361250000.0,10.0,,Pessimistic
7500000,1125000,6375000,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,54187.5,,,,,,Vivo / iQOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000000,,,108375000.0,3.0,,Catastrophic
,,,,20765711.805555556,,,,14336875.000000002,,,,,,,B,AWS (A100 80GB),AWS-A100,,,,,,,,70.0,,56892.36111111112,39824.65277777778,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,1194739.5833333335,,,,,,,,,,,,,,,,,,69.04109589041096,,,,,,,,,,,,,,,,Optimistic
,,,,20765711.805555556,,,,8192500.000000002,,,,,,,B,AWS (A100 80GB),AWS-A100,,,,,,,,40.0,,56892.36111111112,22756.94444444445,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,682708.3333333335,,,,,,,,,,,,,,,,,,39.452054794520556,,,,,,,,,,,,,,,,Moderate
,,,,20765711.805555556,,,,3072187.5000000005,,,,,,,B,AWS (A100 80GB),AWS-A100,,,,,,,,15.0,,56892.36111111112,8533.854166666668,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,256015.62500000003,,,,,,,,,,,,,,,,,,14.794520547945208,,,,,,,,,,,,,,,,Pessimistic
,,,,20765711.805555556,,,,1024062.5000000002,,,,,,,B,AWS (A100 80GB),AWS-A100,,,,,,,,5.0,,56892.36111111112,2844.618055555556,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,85338.54166666669,,,,,,,,,,,,,,,,,,4.9315068493150696,,,,,,,,,,,,,,,,Catastrophic
,,,,62303472.22222222,,,,43015000.0,,,,,,,B,AWS (H100 80GB),AWS-H100,,,,,,,,70.0,,170694.44444444444,119486.1111111111,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,3584583.333333333,,,,,,,,,,,,,,,,,,69.04109589041096,,,,,,,,,,,,,,,,Optimistic
,,,,62303472.22222222,,,,24580000.0,,,,,,,B,AWS (H100 80GB),AWS-H100,,,,,,,,40.0,,170694.44444444444,68277.77777777778,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,2048333.3333333335,,,,,,,,,,,,,,,,,,39.45205479452055,,,,,,,,,,,,,,,,Moderate
,,,,62303472.22222222,,,,9217499.999999998,,,,,,,B,AWS (H100 80GB),AWS-H100,,,,,,,,15.0,,170694.44444444444,25604.166666666664,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,768124.9999999999,,,,,,,,,,,,,,,,,,14.794520547945202,,,,,,,,,,,,,,,,Pessimistic
,,,,62303472.22222222,,,,3072500.0,,,,,,,B,AWS (H100 80GB),AWS-H100,,,,,,,,5.0,,170694.44444444444,8534.722222222223,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,256041.6666666667,,,,,,,,,,,,,,,,,,4.931506849315069,,,,,,,,,,,,,,,,Catastrophic
,,,,62303472.22222222,,,,43015000.0,,,,,,,B,Google Cloud (H100 80GB),GCP-H100,,,,,,,,70.0,,170694.44444444444,119486.1111111111,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,3584583.333333333,,,,,,,,,,,,,,,,,,69.04109589041096,,,,,,,,,,,,,,,,Optimistic
,,,,62303472.22222222,,,,24580000.0,,,,,,,B,Google Cloud (H100 80GB),GCP-H100,,,,,,,,40.0,,170694.44444444444,68277.77777777778,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,2048333.3333333335,,,,,,,,,,,,,,,,,,39.45205479452055,,,,,,,,,,,,,,,,Moderate
,,,,62303472.22222222,,,,9217499.999999998,,,,,,,B,Google Cloud (H100 80GB),GCP-H100,,,,,,,,15.0,,170694.44444444444,25604.166666666664,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,768124.9999999999,,,,,,,,,,,,,,,,,,14.794520547945202,,,,,,,,,,,,,,,,Pessimistic
,,,,62303472.22222222,,,,3072500.0,,,,,,,B,Google Cloud (H100 80GB),GCP-H100,,,,,,,,5.0,,170694.44444444444,8534.722222222223,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,256041.6666666667,,,,,,,,,,,,,,,,,,4.931506849315069,,,,,,,,,,,,,,,,Catastrophic
,,,,17236111.11111111,,,,11900000.0,,,,,,,B,Microsoft Azure (A100 80GB),AZR-A100,,,,,,,,70.0,,47222.22222222222,33055.555555555555,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,991666.6666666666,,,,,,,,,,,,,,,,,,69.04109589041097,,,,,,,,,,,,,,,,Optimistic
,,,,17236111.11111111,,,,6800000.0,,,,,,,B,Microsoft Azure (A100 80GB),AZR-A100,,,,,,,,40.0,,47222.22222222222,18888.888888888887,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,566666.6666666666,,,,,,,,,,,,,,,,,,39.45205479452055,,,,,,,,,,,,,,,,Moderate
,,,,17236111.11111111,,,,2550000.0,,,,,,,B,Microsoft Azure (A100 80GB),AZR-A100,,,,,,,,15.0,,47222.22222222222,7083.333333333333,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,212500.0,,,,,,,,,,,,,,,,,,14.794520547945208,,,,,,,,,,,,,,,,Pessimistic
,,,,17236111.11111111,,,,850000.0,,,,,,,B,Microsoft Azure (A100 80GB),AZR-A100,,,,,,,,5.0,,47222.22222222222,2361.111111111111,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,70833.33333333333,,,,,,,,,,,,,,,,,,4.931506849315069,,,,,,,,,,,,,,,,Catastrophic
,,,,54217708.33333333,,,,37432499.99999999,,,,,,,B,Microsoft Azure (H100 80GB),AZR-H100,,,,,,,,70.0,,148541.66666666666,103979.16666666666,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,3119374.9999999995,,,,,,,,,,,,,,,,,,69.04109589041096,,,,,,,,,,,,,,,,Optimistic
,,,,54217708.33333333,,,,21390000.0,,,,,,,B,Microsoft Azure (H100 80GB),AZR-H100,,,,,,,,40.0,,148541.66666666666,59416.666666666664,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,1782500.0,,,,,,,,,,,,,,,,,,39.45205479452055,,,,,,,,,,,,,,,,Moderate
